year,site,dasar,date,matched,missed
08,3,A,08/28,4194,31
08,3,A,09/06,6444,76
08,3,A,09/13,2020,7
08,3,A,09/21,73,0
08,3,A,09/29,3026,2
08,3,D,08/28,2592,25
08,3,D,09/06,6155,40
08,3,D,09/13,1814,6
08,3,D,09/21,71,1
08,3,D,09/29,3320,14
08,3,G,08/28,1209,32
08,3,G,09/06,4234,55
08,3,G,09/13,1037,207
08,3,G,09/21,122,6
08,3,G,09/29,3175,13
08,5,A,08/21,1966,5
08,5,A,08/28,3154,40
08,5,A,09/06,2198,0
08,5,A,09/13,2588,5
08,5,A,09/21,508,0
08,5,A,09/29,3347,18
08,5,D,08/21,1515,6
08,5,D,08/28,3180,35
08,5,D,09/06,1789,3
08,5,D,09/13,2828,3
08,5,D,09/21,230,4
08,5,D,09/29,2357,75
08,5,G,08/21,527,8
08,5,G,08/28,1278,59
08,5,G,09/06,744,2
08,5,G,09/13,1682,9
08,5,G,09/21,40,0
08,5,G,09/29,658,15
10,3,D,08/15,22,6
10,3,D,08/21,143,2
10,3,D,08/29,3670,37
10,3,D,09/05,1136,180
10,3,D,09/13,9322,323
10,3,D,09/27,1301,94
10,3,G,08/15,23,2
10,3,G,08/21,172,0
10,3,G,08/29,3576,33
10,3,G,09/05,268,97
10,3,G,09/13,7425,263
10,3,G,09/27,424,76
10,5,A,08/15,209,12
10,5,A,08/21,1747,40
10,5,A,08/29,3566,35
10,5,A,09/05,222,13
10,5,A,09/13,3154,59
10,5,D,08/15,223,19
10,5,D,08/21,1211,44
10,5,D,08/29,2626,41
10,5,D,09/05,52,15
10,5,D,09/13,2083,126
10,5,G,08/15,83,8
10,5,G,08/21,504,36
10,5,G,08/29,1493,44
10,5,G,09/05,2,2
10,5,G,09/13,643,116
12,3,A,08/25,100,5
12,3,A,09/01,536,43
12,3,A,09/07,161,33
12,3,A,09/13,2778,23
12,3,A,09/18,7092,74
12,3,A,09/23,6,0
12,3,A,09/29,499,2
12,3,A,10/05,415,5
12,3,D,08/25,143,1
12,3,D,09/01,515,60
12,3,D,09/07,331,44
12,3,D,09/13,1784,113
12,3,D,09/18,7046,107
12,3,D,09/29,201,15
12,3,D,10/05,366,12
12,3,G,08/25,148,4
12,3,G,09/01,387,69
12,3,G,09/07,174,27
12,3,G,09/13,831,73
12,3,G,09/18,5716,132
12,3,G,09/29,66,0
12,3,G,10/05,324,8
12,5,A,08/25,1197,2
12,5,A,09/01,1355,16
12,5,A,09/13,666,27
12,5,A,09/18,4881,70
12,5,A,09/23,1688,9
12,5,A,09/29,862,4
12,5,D,08/25,821,20
12,5,D,09/01,591,95
12,5,D,09/13,268,49
12,5,D,09/18,4839,76
12,5,D,09/23,1088,27
12,5,D,09/29,567,11
12,5,G,08/25,276,20
12,5,G,09/01,43,29
12,5,G,09/13,4,2
12,5,G,09/18,2318,123
12,5,G,09/23,441,26
12,5,G,09/29,85,0
14,3,A,08/18,3519,10
14,3,A,08/28,3881,36
14,3,A,09/01,1614,46
14,3,A,09/17,1919,35
14,3,A,09/27,3175,27
14,3,D,08/18,4599,14
14,3,D,08/28,4705,64
14,3,D,09/01,2329,49
14,3,D,09/17,1724,62
14,3,D,09/27,1629,113
14,3,G,08/18,4440,24
14,3,G,08/28,4200,47
14,3,G,09/01,2147,82
14,3,G,09/17,1241,47
14,3,G,09/27,933,57
14,5,A,08/18,2212,21
14,5,A,08/28,2727,15
14,5,A,09/01,3961,38
14,5,A,09/17,9025,45
14,5,A,09/27,450,10
14,5,D,08/18,1475,66
14,5,D,08/28,2397,32
14,5,D,09/01,3780,45
14,5,D,09/17,7054,76
14,5,D,09/27,216,26
14,5,G,08/18,589,34
14,5,G,08/28,1732,24
14,5,G,09/01,2043,79
14,5,G,09/17,2942,93
14,5,G,09/27,19,4
